,MDT-O ,Object,Set #,Notes,notes2
2476,087a.jpg,pretzel,c,duplicate,delete
2477,087b.jpg,pretzel,c,duplicate,delete
2480,089a.jpg,cup of coffee,c,duplicate,delete
2481,089b.jpg,cup of coffee,c,duplicate,delete
2482,090a.jpg,motorcycle,c,similar concept ,delete
2483,090b.jpg,motorcycle,c,similar concept ,delete
2484,091a.jpg,gramophone,c,duplicate,delete
2485,091b.jpg,gramophone,c,duplicate,delete
2486,092a.jpg,rollerblades,c,similar concept ,delete
2487,092b.jpg,rollerblades,c,similar concept ,delete
2488,093a.jpg,full pizza,c,duplicate,delete
2489,093b.jpg,full pizza,c,duplicate,delete
2490,094a.jpg,stapler,c,similar concept ,delete
2491,094b.jpg,stapler,c,similar concept ,delete
2492,095a.jpg,wrist watch,c,duplicate,delete
2493,095b.jpg,wrist watch,c,duplicate,delete
2496,097a.jpg,strainer,c,duplicate,delete
2497,097b.jpg,strainer,c,duplicate,delete
2506,102a.jpg,?,c,hard to identify,delete
2507,102b.jpg,?,c,hard to identify,delete
2508,103a.jpg,oboe,c,hard to identify,delete
2509,103b.jpg,oboe,c,hard to identify,delete
2516,107a.jpg,paper map,c,Duplicate from set 1 image 99,delete
2517,107b.jpg,paper map,c,Duplicate from set 1 image 99,delete
2518,108a.jpg,globe keychain,c,hard to identify,delete
2519,108b.jpg,globe keychain,c,hard to identify,delete
2524,111a.jpg,hook,c,hard to identify,delete
2525,111b.jpg,hook,c,hard to identify,delete
2530,114a.jpg,stack of boxes,c,similar concept,delete
2531,114b.jpg,stack of boxes,c,similar concept,delete
2534,116a.jpg,pet bowl,c,duplicate,delete
2535,116b.jpg,pet bowl,c,duplicate,delete
2536,117a.jpg,acorn,c,duplicate,delete
2537,117b.jpg,acorn,c,duplicate,delete
2544,121a.jpg,bird nest,c,similar concept,delete
2545,121b.jpg,bird nest,c,similar concept,delete
2548,123a.jpg,clothes on line,c,duplicate,delete
2549,123b.jpg,clothes on line,c,duplicate,delete
2554,126a.jpg,rosemary,c,hard to identify,delete
2555,126b.jpg,rosemary,c,hard to identify,delete
2556,127a.jpg,coffee beans,c,duplicate,delete
2557,127b.jpg,coffee beans,c,duplicate,delete
2558,128a.jpg,diving fins,c,duplicate,delete
2559,128b.jpg,diving fins,c,duplicate,delete
2562,130a.jpg,trash bin,c,duplicate,delete
2563,130b.jpg,trash bin,c,duplicate,delete
2566,132a.jpg,hot tub,c,duplicate,delete
2567,132b.jpg,hot tub,c,duplicate,delete
2572,135a.jpg,knapsack?,c,hard to identify,delete
2573,135b.jpg,knapsack?,c,hard to identify,delete
2574,136a.jpg,footsteps in the sand,c,duplicate,delete
2575,136b.jpg,footsteps in the sand,c,duplicate,delete
2576,137a.jpg,cactus,c,duplicate,delete
2577,137b.jpg,cactus,c,duplicate,delete
2580,139a.jpg,paper shredder,c,duplicate,delete
2581,139b.jpg,paper shredder,c,duplicate,delete
2582,140a.jpg,silver tea set,c,duplicate,delete
2583,140b.jpg,silver tea set,c,duplicate,delete
2586,142a.jpg,kitchen faucet,c,duplicate,delete
2587,142b.jpg,kitchen faucet,c,duplicate,delete
2590,144a.jpg,necklace charm,c,duplicate,delete
2591,144b.jpg,necklace charm,c,duplicate,delete
2592,145a.jpg,fridge,c,duplicate,delete
2593,145b.jpg,fridge,c,duplicate,delete
2598,148a.jpg,bell,c,duplicate,delete
2599,148b.jpg,bell,c,duplicate,delete
2602,150a.jpg,cowboy boot,c,duplicate,delete
2603,150b.jpg,cowboy boot,c,duplicate,delete
2606,152a.jpg,electric shaver,c,duplicate,delete
2607,152b.jpg,electric shaver,c,duplicate,delete
2618,158a.jpg,stepping stool,c,duplicate,delete
2619,158b.jpg,stepping stool,c,duplicate,delete
2620,159a.jpg,?,c,hard to identify,delete
2621,159b.jpg,?,c,hard to identify,delete
2622,160a.jpg,makeup brush,c,duplicate,delete
2623,160b.jpg,makeup brush,c,duplicate,delete
2624,161a.jpg,brie cheese,c,hard to identify,delete
2625,161b.jpg,brie cheese,c,hard to identify,delete
2626,162a.jpg,christmas wreath,c,duplicate,delete
2627,162b.jpg,christmas wreath,c,duplicate,delete
2628,163a.jpg,tool box,c,Duplicate from set 1 image 68,delete
2629,163b.jpg,tool box,c,Duplicate from set 1 image 68,delete
2642,170a.jpg,indoor bike,c,duplicate,delete
2643,170b.jpg,indoor bike,c,duplicate,delete
2650,174a.jpg,orange juicer,c,duplicate,delete
2651,174b.jpg,orange juicer,c,duplicate,delete
2652,175a.jpg,ceiling fan,c,duplicate,delete
2653,175b.jpg,ceiling fan,c,duplicate,delete
2658,178a.jpg,shower head,c,duplicate,delete
2659,178b.jpg,shower head,c,duplicate,delete
2662,180a.jpg,sun hat,c,duplicate,delete
2663,180b.jpg,sun hat,c,duplicate,delete
2664,181a.jpg,?,c,hard to identify,delete
2665,181b.jpg,?,c,hard to identify,delete
2666,182a.jpg,?,c,hard to identify,delete
2667,182b.jpg,?,c,hard to identify,delete
2670,184a.jpg,spice collection,c,similar concept,delete
2671,184b.jpg,spice collection,c,similar concept,delete
2672,185a.jpg,knife rack,c,duplicate,delete
2673,185b.jpg,knife rack,c,duplicate,delete
2676,187a.jpg,electric onion chopper,c,duplicate,delete
2677,187b.jpg,electric onion chopper,c,duplicate,delete
2680,189a.jpg,pin and box,c,duplicate,delete
2681,189b.jpg,pin and box,c,duplicate,delete
2684,191a.jpg,ATV,c,duplicate,delete
2685,191b.jpg,ATV,c,duplicate,delete
