index,MDT-O ,Object,Set #,Lure Rating,Notes
293,149b_2.jpg,wheel barrow,1,1,
294,150a_2.jpg,tortoise,1,,
295,150b_2.jpg,tortoise,1,4,
296,151a_2.jpg,hole puncher,1,,
297,151b_2.jpg,hole puncher,1,3,
298,152a_1.jpg,duck,1,,
299,152b_1.jpg,duck,1,4,
300,153a_2.jpg,orange juice,1,,
301,153b_2.jpg,orange juice,1,4,
302,154a_2.jpg,axe body spray,1,,
303,154b_2.jpg,axe body spray,1,4,
304,155a_2.jpg,kangaroo,1,,
305,155b_2.jpg,kangaroo,1,5,
306,156a_2.jpg,picture frame,1,,
307,156b_2.JPG,picture frame,1,1,
308,157a_2.jpg,watermelon,1,,
309,157b_2.jpg,watermelon,1,4,
310,158a_1.jpg,beakers,1,,
311,158b_1.jpg,beakers,1,4,
312,159a_1.jpg,stop sign,1,,
313,159b_1.jpg,stop sign,1,4,
314,160a_1.jpg,silverware organizer,1,,
315,160b_1.jpg,silverware organizer,1,3,
316,161a_1.jpg,step stool,1,,
317,161b_1.jpg,step stool,1,4,
318,162a_2.jpeg,movie film,1,,
319,162b_2.jpg,movie film,1,3,
320,163a_2.jpg,semi truck,1,,
321,163b_2.jpg,semi truck,1,3,
322,164a_1.jpg,egg carton,1,,
323,164b_1.jpg,egg carton,1,1,
324,165a_1.jpg,beanie,1,,
325,165b_1.jpg,beanie,1,1,
326,166a_2.jpg,sword,1,,
327,166b_2.jpg,sword,1,1,
328,167a_2.jpg,storage bowl,1,,
329,167b_2.jpg,storage bowl,1,5,
330,168a_1.jpg,map,1,,
331,168b_1.jpg,map,1,1,
334,170a_1.jpg,cheese,1,,
335,170b_1.jpg,cheese,1,5,
336,171a_2.jpg,drain cover,1,,
337,171b_2.jpg,drain cover,1,3,
338,172a_2.jpg,icecream cone,1,,
339,172b_2.jpg,icecream cone,1,5,
340,173a_2.jpg,oreos,1,,
341,173b_2.jpg,oreos,1,1,
342,174a_2.jpg,anchor,1,,
343,174b_2.jpg,anchor,1,1,
344,175a_1.jpg,binoculars,1,,
345,175b_1.jpg,binoculars,1,3,
346,176a_1.jpg,school bus,1,,
347,176b_1.jpg,school bus,1,5,
348,177a_2.jpg,quiver,1,,
349,177b_2.jpg,quiver,1,2,
350,178a_2.jpg,poker chips,1,,
351,178b_2.jpg,poker chips,1,4,
352,179a_1.jpg,tools,1,,
353,179b_1.jpg,tools,1,5,
354,180a_1.jpg,clothing hanger,1,,
355,180b_1.jpg,clothing hanger,1,3,
356,181a_1.jpg,highlighter,1,,
357,181b_1.jpg,highlighter,1,5,
358,182a_2.jpg,peas,1,,
359,182b_2.jpg,peas,1,1,
360,183a_1.jpg,bracelets,1,,
361,183b_1.jpg,bracelets,1,2,
362,184a_1.jpg,gum drops,1,,
363,184b_1.jpg,gum drops,1,5,
364,185a_1.jpg,clock,1,,
365,185b_1.jpg,clock,1,4,
366,186a_2.jpg,studio light,1,,
367,186b_2.jpg,studio light,1,2,
368,187a_1.jpg,air pump,1,,
369,187b_1.jpg,air pump,1,2,
370,188a_2.jpg,speaker,1,,
371,188b_2.jpg,speaker,1,5,
372,189a_2.jpg,espresso machine,1,,
373,189b_2.jpg,espresso machine,1,5,
374,190a_1.jpg,scissors,1,,
375,190b_1.jpg,scissors,1,5,
376,191a_2.jpg,ship in a bottle,1,,
377,191b_2.jpeg,ship in a bottle,1,1,
378,192a_2.jpg,gold bars,1,,
379,192b_2.jpg,gold bars,1,1,
380,001a_2.jpg,plate,2,,
381,001b_2.jpg,plate,2,5,
382,002a_2.jpg,amp,2,,
383,002b_2.jpg,amp,2,1,
384,003a_2.jpg,tile,2,,
385,003b_2.jpg,tile,2,1,
386,004a_1.jpg,pool table,2,,
387,004b_1.jpg,pool table,2,1,
388,005a_2.jpg,engagement ring,2,,
389,005b_2.jpg,engagement ring,2,1,
390,006a_1.jpg,magazines,2,,
391,006b_1.jpg,magazines,2,5,
392,007a_2.jpg,air fresheners,2,,
393,007b_2.jpg,air fresheners,2,3,
394,008a_1.jpg,planet,2,,
395,008b_1.jpg,planet,2,4,
396,009a_1.jpg,knife rack,2,,
397,009b_1.jpg,knife rack,2,4,
398,010a_2.jpg,dress,2,,
399,010b_2.jpg,dress,2,1,
400,011a_1.jpg,cow boy boots,2,,
401,011b_1.jpg,cow boy boots,2,2,
402,012a_2.jpg,lanyard,2,,
403,012b_2.jpg,lanyard,2,3,
404,013a_1.jpg,rideable lawnmower,2,,
405,013b_1.jpg,rideable lawnmower,2,1,
406,014a_2.jpg,parallel bars,2,,
407,014b_2.jpg,parallel bars,2,5,
408,015a_1.jpg,woven basket,2,,
409,015b_1.jpg,woven basket,2,5,
410,016a_1.jpg,mug,2,,
411,016b_1.jpg,mug,2,5,
412,017a_1.jpg,bucket,2,,
413,017b_1.jpg,bucket,2,4,
414,018a_1.jpg,lemon,2,,
415,018b_1.jpg,lemon,2,3,
416,019a_2.jpg,drink umbrella,2,,
417,019b_2.jpg,drink umbrella,2,5,
418,020a_1.jpg,sand,2,,
419,020b_1.jpg,sand,2,3,
420,021a_2.jpg,red cloth table,2,,
421,021b_2.jpg,red cloth table,2,3,
422,022a_2.jpg,saw,2,,
423,022b_2.jpg,saw,2,2,
424,023a_2.jpg,skateboard,2,,
425,023b_2.jpg,skateboard,2,5,
426,024a_2.jpg,nail gun,2,,
427,024b_2.jpg,nail gun,2,3,
428,025a_1.jpg,q-tips,2,,
429,025b_1.jpg,q-tips,2,5,
430,026a_1.jpg,fire alarm,2,,
431,026b_1.jpg,fire alarm,2,5,
432,027a_2.jpg,cannoli,2,,
433,027b_2.jpg,cannoli,2,5,
434,028a_1.jpg,woven laundry basket,2,,
435,028b_1.jpg,woven laundry basket,2,2,
436,029a_2.jpg,silver rattle,2,,
437,029b_2.jpg,silver rattle,2,2,
438,030a_1.jpg,guitar case,2,,
439,030b_1.jpg,guitar case,2,2,
440,031a_2.jpg,faucet,2,,
441,031b_2.jpg,faucet,2,3,
442,032a_1.jpg,folders,2,,
443,032b_1.jpg,folders,2,5,
444,033a_2.jpg,saxophone,2,,
445,033b_2.jpg,saxophone,2,1,
446,034a_2.jpg,office chair,2,,
447,034b_2.jpg,office chair,2,3,
448,036a_1.jpg,gummy worms,2,,
449,036b_1.jpg,gummy worms,2,1,
450,037a_1.jpg,decanter,2,,
451,037b_1.jpg,decanter,2,3,
452,038a_2.jpg,planner,2,,
453,038b_2.jpg,planner,2,3,
454,039a_2.jpg,stop light,2,,
455,039b_2.jpg,stop light,2,4,
456,040a_2.jpg,nail filer,2,,
457,040b_2.jpg,nail filer,2,3,
458,041a_1.jpg,gears,2,,
459,041b_1.jpg,gears,2,2,
460,042a_2.jpg,grapes,2,,
461,042b_2.jpg,grapes,2,5,
462,043a_1.jpg,fire extinguisher,2,,
463,043b_1.jpg,fire extinguisher,2,5,
464,044a_2.jpg,loofah,2,,
465,044b_2.jpg,loofah,2,5,
466,045a_1.jpg,approved,2,,
467,045b_1.jpg,approved,2,1,
468,046a_2.jpg,lion,2,,
469,046b_2.jpg,lion,2,4,
470,047a_1.jpg,apron,2,,
471,047b_1.jpg,apron,2,2,
472,048a_1.jpg,tweezers,2,,
473,048b_1.jpg,tweezers,2,2,
474,049a_1.jpg,gazebo,2,,
475,049b_1.jpg,gazebo,2,2,
476,050a_1.jpg,money,2,,
477,050b_1.jpg,money,2,2,
478,051a_1.jpg,cat,2,,
479,051b_1.jpg,cat,2,2,
480,052a_2.jpg,net,2,,
481,052b_2.jpg,net,2,4,
486,055a_2.jpg,mac and cheese,2,,
487,055b_2.jpg,mac and cheese,2,2,
488,056a_2.jpg,coin rolls,2,,
489,056b_2.jpg,coin rolls,2,3,
490,057a_1.jpg,wine glass,2,,
491,057b_1.jpg,wine glass,2,3,
492,058a_2.jpg,knife,2,,
493,058b_2.jpg,knife,2,4,
494,061a_1.jpg,spider,2,,
495,061b_1.jpg,spider,2,4,
496,062a_2.jpg,tennis ball,2,,
497,062b_2.jpg,tennis ball,2,2,
498,063a_2.jpg,christmas tree,2,,
499,063b_2.jpg,christmas tree,2,4,
500,064a_2.jpg,expo marker,2,,
501,064b_2.jpg,expo marker,2,1,
502,065a_1.jpg,mans head,2,,
503,065b_1.jpg,mans head,2,2,
504,066a_1.jpg,eaten apple,2,,
505,066b_1.jpg,eaten apple,2,1,
506,067a_1.jpg,pogostick,2,,
507,067b_1.jpg,pogostick,2,2,
508,068a_2.jpg,pitchfork,2,,
509,068b_2.jpg,pitchfork,2,4,
510,069a_2.jpg,waffle maker,2,,
511,069b_2.jpg,waffle maker,2,1,
512,070a_2.jpg,chocolate,2,,
513,070b_2.jpg,chocolate,2,2,
514,071a_1.jpg,wallet,2,,
515,071b_1.jpg,wallet,2,1,
516,072a_1.jpg,raffle ticket,2,,
517,072b_1.jpg,raffle ticket,2,1,
